date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190224,0,Hangzhou,Zhejiang,98.0,1.064,0.9640000000000001,51.0,34.0,13.0,66.0,30.0,57.0,98.0,75.0,73.0,60.0,8.0,8.0
20190224,0,Hanzhong,Shanxi,100.0,1.0,1.15,48.0,34.0,28.0,109.0,55.0,88.0,129.0,106.0,75.0,68.0,13.0,10.0
20190224,0,Harbin,Heilongjiang,214.0,1.185,0.946,48.0,37.0,49.0,109.0,64.0,88.0,184.0,121.0,163.0,70.0,22.0,21.0
20190224,0,Hebi,Henan,245.0,1.633,1.5,95.0,51.0,43.0,147.0,96.0,133.0,234.0,194.0,194.0,162.0,13.0,14.0
20190224,0,Hechi,Guangxi,28.0,0.767,0.7,7.0,8.0,55.0,62.0,55.0,56.0,15.0,11.0,14.0,7.0,6.0,6.0
20190224,0,Hefei,Anhui,150.0,1.4,0.97,79.0,52.0,10.0,99.0,43.0,76.0,131.0,98.0,115.0,83.0,4.0,4.0
20190224,0,Hegang,Heilongjiang,184.0,1.05,0.575,27.0,14.0,66.0,94.0,80.0,85.0,187.0,61.0,138.0,36.0,20.0,11.0
20190224,0,Heihe,Heilongjiang,45.0,0.5329999999999999,0.633,5.0,13.0,69.0,76.0,60.0,68.0,44.0,49.0,24.0,21.0,11.0,22.0
20190224,0,Hengshui,Hebei,199.0,1.167,2.0,50.0,65.0,94.0,156.0,107.0,138.0,178.0,244.0,149.0,198.0,19.0,15.0
20190224,0,Hengyang,Hunan,32.0,0.867,0.767,23.0,24.0,36.0,68.0,41.0,57.0,,47.0,22.0,36.0,7.0,10.0
20190224,0,Heyuan,Guangdong,16.0,1.3,1.2670000000000001,18.0,16.0,28.0,45.0,30.0,38.0,6.0,13.0,1.0,7.0,4.0,5.0
20190224,0,Heze,Shandong,205.0,1.6,1.4669999999999999,82.0,58.0,45.0,169.0,85.0,154.0,221.0,184.0,154.0,135.0,18.0,18.0
20190224,0,Hezhou,Guangxi,24.0,0.45,0.6,12.0,13.0,50.0,51.0,47.0,47.0,12.0,20.0,7.0,15.0,7.0,8.0
20190224,0,Hohhot,Neimenggu,44.0,1.275,1.6130000000000002,56.0,59.0,33.0,89.0,52.0,74.0,43.0,86.0,22.0,55.0,20.0,27.0
20190224,0,Huaibei,Anhui,257.0,2.0,1.5,95.0,60.0,43.0,153.0,74.0,115.0,248.0,194.0,206.0,165.0,23.0,21.0
20190224,0,Huaihua,Hunan,63.0,0.72,0.76,10.0,8.0,58.0,80.0,63.0,75.0,65.0,61.0,44.0,46.0,3.0,2.0
20190224,0,Huainan,Anhui,206.0,1.217,0.983,47.0,37.0,60.0,112.0,76.0,96.0,205.0,150.0,155.0,116.0,11.0,13.0
20190224,0,Huanggang,Hubei,61.0,0.9,0.7,45.0,29.0,11.0,74.0,32.0,62.0,70.0,60.0,39.0,35.0,2.0,2.0
20190224,0,Huangshan,Anhui,38.0,0.667,0.767,10.0,15.0,46.0,66.0,52.0,59.0,35.0,36.0,26.0,27.0,15.0,12.0
20190224,0,Huangshi,Hubei,60.0,1.1,1.083,26.0,34.0,30.0,58.0,28.0,41.0,67.0,67.0,39.0,45.0,5.0,7.0
20190224,0,Huizhou,Guangdong,14.0,0.95,0.92,11.0,17.0,30.0,52.0,27.0,41.0,2.0,22.0,7.0,13.0,5.0,6.0
20190224,0,Huludao,Liaoning,88.0,1.125,1.15,74.0,52.0,30.0,103.0,67.0,90.0,84.0,86.0,65.0,51.0,30.0,68.0
20190224,0,Hulunbuir,Neimenggu,40.0,0.25,0.3,6.0,6.0,70.0,91.0,78.0,82.0,21.0,30.0,15.0,15.0,3.0,3.0
20190224,0,Huzhou,Zhejiang,139.0,1.1740000000000002,1.171,58.0,50.0,41.0,92.0,50.0,70.0,117.0,114.0,106.0,93.0,23.0,21.0
20190224,0,Ji'an,Jiangxi,39.0,0.65,0.75,17.0,17.0,49.0,67.0,48.0,59.0,38.0,37.0,18.0,17.0,7.0,6.0
20190224,0,Jiamusi,Heilongjiang,158.0,0.86,0.58,23.0,17.0,77.0,102.0,92.0,95.0,165.0,62.0,120.0,38.0,16.0,12.0
20190224,0,Jiangmen,Guangdong,18.0,1.2,1.225,34.0,34.0,5.0,16.0,9.0,12.0,9.0,20.0,7.0,12.0,4.0,4.0
20190224,0,Jiaozuo,Henan,178.0,1.75,1.5830000000000002,61.0,40.0,75.0,155.0,107.0,141.0,192.0,205.0,134.0,152.0,13.0,13.0
20190224,0,Jiaxing,Zhejiang,217.0,1.55,1.2329999999999999,63.0,39.0,17.0,70.0,33.0,62.0,180.0,127.0,166.0,103.0,10.0,9.0
