date,hour,location,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190309,0,Guang'an,57.0,0.94,0.85,47.0,27.0,18.0,72.0,48.0,65.0,62.0,63.0,39.0,43.0,5.0,10.0
20190309,0,Guangyuan,80.0,0.8,0.85,33.0,36.0,13.0,68.0,30.0,53.0,85.0,77.0,58.0,62.0,11.0,12.0
20190309,0,Guangzhou,21.0,0.944,0.9,41.0,39.0,7.0,25.0,6.0,18.0,12.0,17.0,9.0,12.0,4.0,4.0
20190309,0,Guigang,17.0,1.0,0.925,20.0,16.0,22.0,42.0,25.0,36.0,16.0,14.0,11.0,10.0,7.0,8.0
20190309,0,Guilin,36.0,0.825,0.875,21.0,22.0,67.0,92.0,65.0,87.0,26.0,49.0,25.0,37.0,7.0,10.0
20190309,0,Guiyang,22.0,0.6,0.6,16.0,20.0,44.0,67.0,42.0,61.0,20.0,25.0,13.0,17.0,9.0,9.0
20190309,0,Guyuan,118.0,1.433,0.967,79.0,33.0,17.0,118.0,64.0,109.0,184.0,92.0,49.0,41.0,16.0,9.0
20190309,0,Haikou,20.0,0.44,0.64,12.0,11.0,24.0,79.0,28.0,67.0,19.0,29.0,12.0,11.0,4.0,4.0
20190309,0,Handan,64.0,0.475,0.5,23.0,25.0,78.0,120.0,100.0,113.0,76.0,94.0,38.0,36.0,6.0,7.0
20190309,0,Hangzhou,62.0,0.736,0.609,56.0,37.0,20.0,92.0,55.0,82.0,71.0,54.0,37.0,27.0,8.0,9.0
20190309,0,Hanzhong,75.0,1.1,0.975,35.0,29.0,22.0,88.0,47.0,79.0,97.0,77.0,44.0,40.0,10.0,6.0
20190309,0,Harbin,172.0,0.9,0.9,23.0,36.0,73.0,91.0,67.0,80.0,291.0,131.0,64.0,54.0,13.0,21.0
20190309,0,Hebi,55.0,0.3,0.333,17.0,20.0,78.0,117.0,95.0,110.0,57.0,67.0,33.0,35.0,10.0,13.0
20190309,0,Hechi,22.0,0.9,0.767,16.0,13.0,38.0,65.0,43.0,57.0,8.0,13.0,10.0,9.0,6.0,6.0
20190309,0,Hefei,72.0,0.66,0.63,74.0,47.0,20.0,90.0,44.0,80.0,91.0,73.0,50.0,41.0,8.0,7.0
20190309,0,Hegang,67.0,0.525,0.65,16.0,15.0,62.0,95.0,65.0,89.0,82.0,58.0,36.0,25.0,12.0,11.0
20190309,0,Heihe,57.0,0.467,0.633,2.0,10.0,85.0,117.0,80.0,85.0,62.0,54.0,12.0,16.0,8.0,16.0
20190309,0,Hengshui,79.0,0.8,0.7,30.0,28.0,75.0,121.0,91.0,111.0,105.0,102.0,55.0,45.0,16.0,16.0
20190309,0,Hengyang,65.0,0.867,0.967,33.0,36.0,34.0,75.0,46.0,62.0,53.0,77.0,46.0,57.0,6.0,8.0
20190309,0,Heyuan,19.0,1.1,1.133,37.0,21.0,7.0,37.0,18.0,29.0,12.0,11.0,8.0,7.0,5.0,5.0
20190309,0,Heze,71.0,0.5,0.5670000000000001,42.0,31.0,43.0,120.0,73.0,109.0,89.0,91.0,32.0,34.0,9.0,11.0
20190309,0,Hezhou,30.0,0.7,0.8,13.0,16.0,54.0,64.0,53.0,59.0,21.0,29.0,21.0,22.0,6.0,6.0
20190309,0,Hohhot,122.0,1.225,1.5,33.0,59.0,71.0,111.0,71.0,99.0,105.0,130.0,92.0,79.0,12.0,23.0
20190309,0,Huaibei,61.0,0.5329999999999999,0.467,27.0,27.0,75.0,96.0,80.0,93.0,59.0,55.0,43.0,32.0,10.0,10.0
20190309,0,Huaihua,64.0,0.48,0.52,10.0,8.0,61.0,80.0,65.0,76.0,65.0,62.0,45.0,39.0,4.0,2.0
20190309,0,Huainan,76.0,0.5670000000000001,0.5329999999999999,42.0,36.0,53.0,100.0,57.0,90.0,97.0,89.0,55.0,47.0,24.0,16.0
20190309,0,Huanggang,86.0,0.75,0.65,29.0,25.0,72.0,101.0,64.0,87.0,100.0,86.0,63.0,50.0,5.0,7.0
20190309,0,Huangshan,106.0,0.767,0.8,19.0,20.0,43.0,140.0,63.0,119.0,103.0,87.0,79.0,70.0,10.0,7.0
20190309,0,Huangshi,85.0,0.983,0.933,21.0,27.0,88.0,104.0,81.0,89.0,92.0,84.0,62.0,51.0,7.0,8.0
20190309,0,Huizhou,26.0,0.66,0.72,22.0,20.0,45.0,67.0,48.0,60.0,25.0,20.0,17.0,12.0,6.0,6.0
20190309,0,Huludao,98.0,0.925,1.575,34.0,59.0,101.0,118.0,108.0,108.0,104.0,145.0,73.0,89.0,22.0,39.0
20190309,0,Hulunbuir,43.0,0.2,0.3,6.0,10.0,70.0,91.0,77.0,78.0,34.0,33.0,30.0,18.0,3.0,3.0
20190309,0,Huzhou,69.0,0.754,0.871,54.0,50.0,57.0,91.0,68.0,79.0,69.0,90.0,49.0,55.0,16.0,19.0
20190309,0,Ji'an,59.0,0.725,0.7,21.0,26.0,55.0,75.0,54.0,66.0,57.0,83.0,41.0,58.0,4.0,10.0
20190309,0,Jiamusi,78.0,0.56,0.4,11.0,17.0,90.0,103.0,87.0,97.0,104.0,51.0,34.0,26.0,8.0,9.0
20190309,0,Jiangmen,23.0,1.2,1.0,44.0,47.0,2.0,10.0,2.0,7.0,19.0,31.0,11.0,18.0,5.0,6.0
20190309,0,Jiaozuo,72.0,0.6829999999999999,0.633,37.0,27.0,78.0,116.0,96.0,109.0,92.0,79.0,50.0,41.0,8.0,9.0
20190309,0,Jiaxing,51.0,0.5329999999999999,0.5670000000000001,21.0,33.0,84.0,101.0,87.0,95.0,50.0,44.0,24.0,22.0,4.0,6.0
20190309,0,Jiayuguan,62.0,0.4,0.45,19.0,19.0,89.0,113.0,100.0,109.0,72.0,94.0,21.0,26.0,5.0,11.0
20190309,0,Jieyang,31.0,0.75,0.85,17.0,18.0,56.0,94.0,60.0,86.0,16.0,26.0,17.0,18.0,7.0,8.0
20190309,0,Jilin,53.0,0.7,0.7140000000000001,17.0,20.0,85.0,125.0,91.0,110.0,53.0,53.0,31.0,31.0,14.0,12.0
20190309,0,Jinan,88.0,0.575,0.612,63.0,64.0,59.0,109.0,70.0,102.0,124.0,111.0,54.0,45.0,16.0,17.0
20190309,0,Jinchang,75.0,0.667,0.6,21.0,18.0,75.0,116.0,89.0,111.0,97.0,97.0,28.0,23.0,4.0,10.0
20190309,0,Jincheng,80.0,0.667,0.8170000000000001,41.0,37.0,69.0,117.0,96.0,108.0,108.0,87.0,41.0,31.0,16.0,16.0
20190309,0,Jingdezhen,63.0,0.64,0.6,10.0,13.0,42.0,81.0,47.0,70.0,58.0,79.0,44.0,55.0,4.0,5.0
20190309,0,Jingmen,91.0,0.76,0.66,26.0,30.0,55.0,80.0,47.0,66.0,94.0,86.0,67.0,47.0,13.0,13.0
20190309,0,Jingzhou,86.0,0.667,0.5670000000000001,68.0,41.0,18.0,85.0,40.0,76.0,119.0,77.0,40.0,33.0,10.0,11.0
20190309,0,Jinhua,40.0,0.3670000000000001,0.5,23.0,32.0,64.0,128.0,79.0,104.0,21.0,59.0,16.0,32.0,4.0,8.0
20190309,0,Jining,61.0,0.733,0.9,28.0,41.0,62.0,124.0,87.0,114.0,69.0,82.0,28.0,36.0,16.0,21.0
20190309,0,Jinzhong,88.0,1.233,1.0,47.0,47.0,60.0,131.0,88.0,118.0,117.0,106.0,65.0,55.0,29.0,26.0
20190309,0,Jinzhou,110.0,1.1,1.6,50.0,66.0,74.0,87.0,78.0,78.0,107.0,145.0,82.0,89.0,36.0,50.0
20190309,0,Jiujiang,103.0,0.711,0.6779999999999999,41.0,29.0,18.0,88.0,43.0,76.0,42.0,74.0,76.0,59.0,7.0,9.0
20190309,0,Jiuquan,72.0,0.5,0.75,14.0,19.0,93.0,112.0,93.0,106.0,92.0,103.0,29.0,28.0,10.0,16.0
20190309,0,Jixi,57.0,0.625,0.7,22.0,23.0,65.0,92.0,54.0,85.0,62.0,64.0,31.0,29.0,11.0,13.0
20190309,0,Kaifeng,77.0,0.725,0.675,32.0,29.0,71.0,128.0,95.0,119.0,76.0,67.0,56.0,41.0,8.0,9.0
20190309,0,Karamay,74.0,1.04,1.0,12.0,20.0,97.0,110.0,97.0,101.0,95.0,84.0,49.0,52.0,3.0,3.0
20190309,0,Kunming,39.0,0.7879999999999999,0.588,30.0,21.0,54.0,96.0,69.0,86.0,38.0,40.0,27.0,23.0,14.0,14.0
20190309,0,Laibin,58.0,0.9,0.9,16.0,16.0,42.0,65.0,42.0,55.0,38.0,31.0,40.0,27.0,6.0,8.0
20190309,0,Laiwu,76.0,0.733,1.033,33.0,49.0,75.0,136.0,93.0,114.0,100.0,132.0,55.0,69.0,18.0,28.0
20190309,0,Langfang,93.0,0.9,1.125,46.0,40.0,57.0,128.0,80.0,107.0,133.0,103.0,64.0,52.0,11.0,10.0
20190309,0,Lanzhou,60.0,0.667,0.8170000000000001,32.0,34.0,67.0,104.0,78.0,89.0,68.0,58.0,38.0,29.0,9.0,11.0
20190309,0,Leshan,40.0,0.62,0.62,17.0,24.0,66.0,73.0,50.0,50.0,35.0,32.0,28.0,28.0,4.0,6.0
20190309,0,Lhasa,52.0,0.417,0.483,4.0,11.0,107.0,110.0,101.0,102.0,21.0,46.0,7.0,14.0,4.0,4.0
20190309,0,Lianyungang,40.0,0.6,0.72,23.0,40.0,73.0,103.0,79.0,87.0,26.0,56.0,10.0,30.0,10.0,13.0
20190309,0,Liaocheng,75.0,0.6,0.667,37.0,40.0,69.0,132.0,98.0,119.0,98.0,109.0,41.0,48.0,13.0,12.0
20190309,0,Liaoyang,69.0,0.8,1.325,21.0,40.0,101.0,109.0,77.0,95.0,86.0,112.0,44.0,57.0,15.0,24.0
20190309,0,Liaoyuan,70.0,1.2,0.9,21.0,27.0,84.0,110.0,88.0,99.0,87.0,57.0,45.0,38.0,19.0,14.0
20190309,0,Lijiang,44.0,0.6,0.5670000000000001,7.0,8.0,87.0,93.0,87.0,90.0,28.0,22.0,21.0,7.0,6.0,6.0
20190309,0,Lincang,89.0,0.8,0.85,19.0,21.0,33.0,79.0,43.0,64.0,89.0,79.0,66.0,50.0,10.0,10.0
20190309,0,Linfen,85.0,1.3630000000000002,1.05,43.0,33.0,62.0,114.0,76.0,92.0,96.0,84.0,62.0,47.0,31.0,26.0
20190309,0,Linyi,70.0,0.3,0.775,37.0,49.0,45.0,102.0,67.0,94.0,68.0,104.0,50.0,53.0,6.0,28.0
20190309,0,Lishui,32.0,0.5,0.6,44.0,24.0,21.0,98.0,48.0,89.0,29.0,64.0,22.0,46.0,6.0,6.0
20190309,0,Liupanshui,25.0,0.825,0.82,24.0,19.0,47.0,75.0,48.0,55.0,19.0,28.0,11.0,16.0,13.0,13.0
20190309,0,Liuzhou,43.0,1.017,0.983,20.0,17.0,29.0,63.0,43.0,52.0,29.0,39.0,30.0,38.0,4.0,8.0
20190309,0,Longnan,33.0,1.0,0.9,30.0,14.0,37.0,94.0,64.0,88.0,31.0,19.0,20.0,12.0,6.0,6.0
20190309,0,Longyan,27.0,0.55,0.6,15.0,13.0,51.0,68.0,53.0,63.0,11.0,16.0,8.0,10.0,5.0,5.0
20190309,0,Loudi,59.0,0.6,0.65,17.0,22.0,82.0,104.0,79.0,85.0,65.0,60.0,34.0,32.0,2.0,3.0
20190309,0,Lu'an,71.0,0.575,0.575,39.0,34.0,46.0,72.0,57.0,67.0,86.0,80.0,51.0,41.0,7.0,8.0
20190309,0,Luohe,115.0,0.825,0.75,51.0,39.0,56.0,115.0,70.0,103.0,131.0,102.0,86.0,62.0,8.0,11.0
20190309,0,Luoyang,99.0,1.0,0.643,87.0,52.0,12.0,106.0,47.0,93.0,135.0,92.0,74.0,48.0,12.0,11.0
20190309,0,Luzhou,67.0,0.7,0.65,40.0,27.0,24.0,65.0,39.0,57.0,59.0,46.0,48.0,37.0,10.0,10.0
20190309,0,Lüliang,80.0,1.067,1.2,79.0,63.0,44.0,135.0,76.0,114.0,91.0,127.0,58.0,71.0,28.0,41.0
20190309,0,Ma'anshan,56.0,0.46,0.58,31.0,33.0,60.0,93.0,76.0,85.0,60.0,59.0,38.0,33.0,12.0,11.0
20190309,0,Maoming,31.0,0.65,0.7,12.0,16.0,59.0,63.0,60.0,60.0,19.0,17.0,9.0,10.0,2.0,4.0
20190309,0,Meishan,49.0,0.733,0.6,39.0,21.0,18.0,72.0,58.0,65.0,48.0,32.0,34.0,21.0,4.0,5.0
20190309,0,Meizhou,33.0,0.6,0.667,15.0,13.0,63.0,86.0,65.0,77.0,6.0,10.0,4.0,8.0,5.0,6.0
20190309,0,Mianyang,88.0,0.675,0.5,51.0,25.0,12.0,86.0,38.0,76.0,83.0,58.0,65.0,50.0,3.0,3.0
20190309,0,Mudanjiang,51.0,0.48,0.68,18.0,28.0,71.0,95.0,56.0,87.0,50.0,71.0,27.0,37.0,3.0,5.0
20190309,0,Nanchang,83.0,0.8,0.7559999999999999,34.0,29.0,55.0,91.0,69.0,81.0,85.0,84.0,61.0,54.0,3.0,5.0
20190309,0,Nanchong,81.0,0.78,0.633,40.0,21.0,41.0,107.0,66.0,93.0,84.0,69.0,59.0,55.0,4.0,3.0
20190309,0,Nanjing,56.0,0.733,0.9,33.0,36.0,67.0,88.0,76.0,83.0,60.0,62.0,26.0,27.0,11.0,11.0
