AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
89.71428571428571,0.9685714285714285,1.0012380952380955,54.666666666666664,39.857142857142854,41.19047619047619,115.0,74.28571428571429,98.19047619047619,112.0,93.71428571428571,54.57142857142857,48.38095238095238,20.761904761904763,18.80952380952381
60.44444444444444,0.7237777777777779,0.7560555555555556,28.166666666666668,33.611111111111114,38.166666666666664,75.27777777777777,42.611111111111114,55.111111111111114,57.55555555555556,60.388888888888886,41.72222222222222,42.611111111111114,5.944444444444445,9.166666666666666
61.0,1.213,0.65,74.0,34.0,14.0,94.0,40.0,73.0,70.0,60.0,31.0,20.0,16.0,10.0
128.0,1.427,1.6,57.5,54.5,72.0,111.5,87.5,98.0,112.0,102.5,96.5,84.5,7.0,8.5
49.0,0.4,0.45,7.0,10.0,99.0,104.0,97.0,100.0,29.0,34.0,5.0,12.0,4.0,4.0
45.125,0.8379999999999999,0.761,15.625,17.75,53.5,80.125,58.0,69.5,32.714285714285715,39.5,26.0,25.875,7.5,8.25
75.45454545454545,0.877090909090909,0.8783636363636362,44.0,38.18181818181818,41.90909090909091,87.54545454545455,51.63636363636363,73.0909090909091,80.63636363636364,51.27272727272727,49.90909090909091,35.81818181818182,7.909090909090909,7.181818181818182
92.875,0.7053125,0.91175,35.5625,39.25,55.625,110.0625,55.625,55.625,118.8,116.0,57.125,80.0,8.5625,10.625
30.0,0.4,0.28300000000000003,36.0,16.0,41.0,93.0,41.0,41.0,29.0,22.0,12.0,8.0,2.0,2.0
50.0,0.823,0.8859999999999999,40.0,38.0,15.0,25.0,14.0,16.0,48.0,62.0,35.0,46.0,6.0,7.0
33.125,0.6769999999999999,0.811625,13.375,25.625,63.5,75.375,63.5,63.5,18.714285714285715,24.75,13.25,17.625,4.5,5.375
83.41666666666667,0.7207500000000001,0.7069166666666665,30.75,26.083333333333332,72.08333333333333,114.33333333333333,72.16666666666667,72.33333333333333,107.5,93.66666666666667,49.75,35.583333333333336,10.5,19.083333333333332
24.333333333333332,0.8236666666666667,0.7924285714285715,20.61904761904762,26.238095238095237,33.23809523809524,50.61904761904762,33.23809523809524,33.23809523809524,18.5,21.666666666666668,10.523809523809524,14.0,6.0476190476190474,6.0
27.692307692307693,0.8704615384615384,0.8990000000000001,14.307692307692308,14.153846153846153,44.76923076923077,62.61538461538461,44.76923076923077,44.76923076923077,21.666666666666668,22.53846153846154,16.76923076923077,14.615384615384615,7.384615384615385,7.3076923076923075
32.4,0.6206,0.6634,15.8,20.4,51.0,74.4,51.0,51.0,29.0,40.6,20.0,29.0,10.0,12.0
32.0,0.61,0.54,10.5,12.5,35.0,71.0,35.0,35.0,31.0,32.0,17.0,17.5,3.0,3.5
66.72727272727273,0.698,0.5182727272727273,38.09090909090909,25.181818181818183,38.72727272727273,97.63636363636364,38.72727272727273,38.72727272727273,80.0909090909091,65.63636363636364,32.0,23.90909090909091,9.090909090909092,8.363636363636363
39.166666666666664,0.4992499999999999,0.46491666666666664,15.666666666666666,14.166666666666666,51.5,82.08333333333333,51.5,51.5,35.583333333333336,34.833333333333336,22.166666666666668,18.916666666666668,8.166666666666666,8.5
84.52941176470588,0.5512941176470588,0.9176470588235294,23.705882352941178,33.0,64.41176470588235,117.88235294117646,64.47058823529412,64.70588235294117,104.82352941176471,130.35294117647058,37.411764705882355,83.29411764705883,7.882352941176471,11.705882352941176
91.36363636363636,0.8389090909090909,0.8830909090909091,34.0,32.54545454545455,60.36363636363637,124.72727272727273,59.72727272727273,60.09090909090909,98.54545454545455,72.0,66.81818181818181,44.54545454545455,7.636363636363637,8.454545454545455
64.6923076923077,1.0298461538461539,0.9474615384615385,34.46153846153846,28.53846153846154,33.76923076923077,74.46153846153847,33.76923076923077,33.76923076923077,63.53846153846154,47.84615384615385,44.07692307692308,35.30769230769231,7.846153846153846,7.153846153846154
135.0,0.8805,0.9366000000000001,26.5,37.8,81.1,114.6,81.1,81.4,152.5,125.4,98.0,83.7,8.8,10.4
53.6,0.8038000000000001,0.8270000000000002,23.2,19.2,39.9,73.6,40.2,40.4,48.1,36.8,33.0,25.4,11.3,7.2
65.125,0.7919999999999999,0.628375,34.625,20.375,30.875,90.25,30.875,30.875,75.625,53.875,42.75,29.5,10.375,10.75
