date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2_5,PM2_5_24h,SO2,SO2_24h
20200328,0,Karamay,Xinjiang,47.0,0.7,0.48,44.0,18.0,36.0,87.0,71.0,82.0,47.0,29.0,15.0,10.0,7.0,7.0
20200328,0,Kunming,Yunnan,89.0,0.87,0.67,41.0,27.0,88.0,153.0,112.0,139.0,87.0,62.0,66.0,40.0,8.0,9.0
20200328,0,Laibin,Guangxi,17.0,0.95,0.65,18.0,16.0,34.0,66.0,48.0,57.0,17.0,44.0,12.0,26.0,10.0,13.0
20200328,0,Langfang,Hebei,22.0,0.2,0.2,18.0,12.0,57.0,86.0,74.0,83.0,22.0,27.0,7.0,9.0,3.0,3.0
20200328,0,Lanzhou,Gansu,52.0,0.55,0.8,29.0,38.0,68.0,95.0,79.0,83.0,53.0,64.0,32.0,29.0,6.0,8.0
20200328,0,Leshan,Sichuan,19.0,0.4,0.4,12.0,16.0,60.0,84.0,66.0,73.0,18.0,48.0,10.0,21.0,6.0,4.0
20200328,0,Lhasa,Xizang,47.0,0.75,0.45,41.0,17.0,36.0,98.0,68.0,91.0,47.0,26.0,19.0,9.0,7.0,7.0
20200328,0,Lianyungang,Jiangsu,48.0,0.5,0.45,13.0,12.0,70.0,87.0,77.0,83.0,48.0,50.0,9.0,9.0,9.0,8.0
20200328,0,Liaocheng,Shandong,51.0,0.37,0.27,51.0,19.0,21.0,91.0,54.0,87.0,51.0,33.0,19.0,8.0,4.0,4.0
20200328,0,Liaoyang,Liaoning,65.0,0.83,0.7,37.0,24.0,27.0,85.0,57.0,78.0,79.0,58.0,32.0,23.0,20.0,17.0
20200328,0,Liaoyuan,Jilin,50.0,0.45,0.5,9.0,11.0,64.0,90.0,71.0,85.0,50.0,39.0,13.0,15.0,11.0,14.0
20200328,0,Lijiang,Yunnan,36.0,0.6,0.6,6.0,6.0,113.0,124.0,114.0,115.0,36.0,32.0,20.0,15.0,11.0,10.0
20200328,0,Lincang,Yunnan,61.0,0.9,0.85,21.0,16.0,74.0,131.0,105.0,124.0,62.0,63.0,44.0,52.0,9.0,9.0
20200328,0,Linfen,Shanxi,70.0,1.26,0.66,53.0,33.0,9.0,80.0,40.0,71.0,84.0,52.0,51.0,30.0,18.0,16.0
20200328,0,Linyi,Shandong,57.0,0.63,0.55,34.0,19.0,48.0,97.0,67.0,88.0,64.0,56.0,16.0,13.0,9.0,8.0
20200328,0,Lishui,Zhejiang,13.0,0.47,0.6,20.0,21.0,41.0,76.0,36.0,54.0,8.0,27.0,2.0,14.0,4.0,4.0
20200328,0,Liupanshui,Guizhou,47.0,0.42,0.57,11.0,13.0,83.0,115.0,96.0,109.0,47.0,64.0,27.0,43.0,7.0,10.0
20200328,0,Liuzhou,Guangxi,14.0,0.87,0.68,16.0,16.0,34.0,71.0,51.0,60.0,12.0,34.0,10.0,21.0,15.0,6.0
20200328,0,Longnan,Gansu,29.0,0.3,0.4,15.0,19.0,60.0,84.0,63.0,76.0,29.0,34.0,19.0,15.0,8.0,12.0
20200328,0,Longyan,Fujian,18.0,0.43,0.5,17.0,19.0,57.0,82.0,61.0,68.0,15.0,34.0,12.0,19.0,6.0,7.0
20200328,0,Loudi,Hunan,19.0,0.5,0.72,9.0,13.0,62.0,97.0,53.0,58.0,9.0,17.0,6.0,9.0,2.0,3.0
20200328,0,Lu'an,Anhui,44.0,0.57,0.47,20.0,20.0,60.0,72.0,55.0,67.0,35.0,34.0,31.0,16.0,5.0,5.0
20200328,0,Luohe,Henan,52.0,0.43,0.38,29.0,18.0,25.0,63.0,38.0,59.0,54.0,36.0,29.0,16.0,7.0,6.0
20200328,0,Luoyang,Henan,41.0,0.4,0.39,39.0,21.0,22.0,66.0,48.0,62.0,41.0,33.0,19.0,14.0,5.0,5.0
20200328,0,Luzhou,Sichuan,29.0,0.57,0.6,22.0,18.0,39.0,63.0,45.0,58.0,25.0,41.0,20.0,25.0,7.0,6.0
20200328,0,Lüliang,Shanxi,62.0,0.5,0.57,63.0,28.0,2.0,88.0,50.0,80.0,74.0,59.0,17.0,19.0,7.0,11.0
20200328,0,Ma'anshan,Anhui,40.0,0.22,0.4,14.0,20.0,68.0,76.0,67.0,69.0,40.0,33.0,6.0,8.0,7.0,7.0
20200328,0,Maoming,Guangdong,26.0,0.53,0.5,8.0,6.0,40.0,54.0,43.0,49.0,26.0,31.0,8.0,11.0,5.0,5.0
20200328,0,Meishan,Sichuan,21.0,0.47,0.47,7.0,16.0,65.0,101.0,78.0,88.0,21.0,38.0,12.0,20.0,5.0,7.0
20200328,0,Meizhou,Guangdong,21.0,0.55,0.55,26.0,18.0,35.0,75.0,56.0,69.0,16.0,32.0,15.0,25.0,5.0,5.0
20200328,0,Mianyang,Sichuan,25.0,0.45,0.4,22.0,15.0,48.0,105.0,70.0,96.0,25.0,30.0,12.0,14.0,6.0,5.0
20200328,0,Mudanjiang,Heilongjiang,53.0,0.28,0.28,5.0,6.0,77.0,82.0,77.0,79.0,56.0,46.0,16.0,16.0,4.0,4.0
20200328,0,Nanchang,Jiangxi,19.0,0.3,0.43,13.0,16.0,60.0,72.0,54.0,55.0,10.0,22.0,9.0,14.0,4.0,4.0
20200328,0,Nanchong,Sichuan,19.0,0.44,0.4,17.0,15.0,60.0,73.0,63.0,67.0,15.0,24.0,5.0,11.0,4.0,5.0
20200328,0,Nanjing,Jiangsu,54.0,0.56,0.54,21.0,16.0,69.0,93.0,81.0,88.0,57.0,35.0,11.0,9.0,4.0,4.0
20200328,0,Nanning,Guangxi,45.0,0.74,0.64,29.0,21.0,20.0,56.0,31.0,45.0,45.0,39.0,30.0,23.0,6.0,7.0
20200328,0,Nanping,Fujian,23.0,0.33,0.47,7.0,14.0,73.0,76.0,42.0,45.0,9.0,31.0,8.0,20.0,4.0,7.0
20200328,0,Nantong,Jiangsu,62.0,0.48,0.5,12.0,6.0,71.0,91.0,84.0,89.0,73.0,43.0,10.0,7.0,4.0,5.0
20200328,0,Nanyang,Henan,18.0,0.46,0.44,12.0,14.0,57.0,77.0,61.0,73.0,7.0,25.0,7.0,11.0,5.0,5.0
20200328,0,Neijiang,Sichuan,23.0,0.53,0.45,9.0,7.0,55.0,78.0,66.0,74.0,23.0,31.0,14.0,18.0,5.0,6.0
20200328,0,Ningbo,Zhejiang,28.0,0.44,0.53,13.0,24.0,88.0,89.0,81.0,81.0,21.0,19.0,3.0,9.0,5.0,6.0
20200328,0,Ningde,Fujian,21.0,0.5,0.65,9.0,16.0,66.0,107.0,79.0,89.0,7.0,24.0,3.0,13.0,4.0,5.0
20200328,0,Ordos,Neimenggu,53.0,0.8,0.54,39.0,22.0,51.0,89.0,70.0,74.0,56.0,31.0,19.0,8.0,20.0,12.0
20200328,0,Panjin,Liaoning,54.0,0.57,0.53,50.0,23.0,20.0,83.0,57.0,78.0,57.0,56.0,13.0,9.0,10.0,16.0
20200328,0,Panzhihua,Sichuan,57.0,0.86,0.82,41.0,35.0,81.0,163.0,101.0,136.0,63.0,46.0,34.0,26.0,15.0,16.0
20200328,0,Pingdingshan,Henan,49.0,0.55,0.55,19.0,23.0,57.0,75.0,47.0,70.0,49.0,38.0,29.0,18.0,8.0,10.0
20200328,0,Pingliang,Gansu,40.0,0.45,0.5,40.0,39.0,32.0,89.0,58.0,80.0,40.0,50.0,21.0,16.0,6.0,10.0
20200328,0,Pingxiang,Jiangxi,12.0,1.15,1.07,14.0,19.0,30.0,52.0,25.0,39.0,8.0,20.0,6.0,11.0,6.0,11.0
